model,stratum,method,score_kind,coverage_common,coverage_common_actual,coverage_all,risk_direct,risk_method
llava16,low_acc,vcd,first,0.6,0.6,0.515,0.9902912621359223,0.970873786407767
llava16,low_acc,vcd,first,0.8,0.8,0.6866666666666666,0.9854368932038835,0.9611650485436893
llava16,low_acc,vcd,first,1.0,1.0,0.8583333333333333,0.9786407766990292,0.9572815533980582
llava16,low_acc,m3id,first,0.2,0.2,0.17166666666666666,1.0,0.970873786407767
llava16,low_acc,m3id,first,0.4,0.4,0.3433333333333333,1.0,0.9563106796116505
llava16,low_acc,m3id,first,0.6,0.6,0.515,0.9902912621359223,0.970873786407767
llava16,low_acc,m3id,first,0.8,0.8,0.6866666666666666,0.9854368932038835,0.970873786407767
llava16,low_acc,m3id,first,1.0,1.0,0.8583333333333333,0.9786407766990292,0.9689320388349515
llava16,low_acc,dola,first,0.2,0.2,0.17166666666666666,1.0,1.0
llava16,low_acc,dola,first,0.4,0.4,0.3433333333333333,1.0,0.9951456310679612
llava16,low_acc,dola,first,0.6,0.6,0.515,0.9902912621359223,0.9902912621359223
llava16,low_acc,dola,first,0.8,0.8,0.6866666666666666,0.9854368932038835,0.9854368932038835
llava16,low_acc,dola,first,1.0,1.0,0.8583333333333333,0.9786407766990292,0.9786407766990292
llava16,low_acc,deco,first,0.2,0.2,0.17166666666666666,1.0,1.0
llava16,low_acc,deco,first,0.4,0.4,0.3433333333333333,1.0,0.9951456310679612
llava16,low_acc,deco,first,0.6,0.6,0.515,0.9902912621359223,0.9902912621359223
llava16,low_acc,deco,first,0.8,0.8,0.6866666666666666,0.9854368932038835,0.9878640776699029
llava16,low_acc,deco,first,1.0,1.0,0.8583333333333333,0.9786407766990292,0.9825242718446602
llava16,high_acc,vcd,first,0.2,0.2003454231433506,0.19333333333333333,0.05172413793103448,0.05172413793103448
llava16,high_acc,vcd,first,0.4,0.4006908462867012,0.38666666666666666,0.04310344827586207,0.125
llava16,high_acc,vcd,first,0.6,0.6010362694300518,0.58,0.07183908045977011,0.13793103448275862
llava16,high_acc,vcd,first,0.8,0.8013816925734024,0.7733333333333333,0.10344827586206896,0.17025862068965517
llava16,high_acc,vcd,first,1.0,1.0,0.965,0.15544041450777202,0.22107081174438686
llava16,high_acc,m3id,first,0.2,0.2003454231433506,0.19333333333333333,0.05172413793103448,0.1724137931034483
llava16,high_acc,m3id,first,0.4,0.4006908462867012,0.38666666666666666,0.04310344827586207,0.1206896551724138
