model,stratum,method,score_kind,n,corrected_n,induced_n,acc_direct,acc_method,delta_accuracy,correction_rate,induced_error_rate,delta_accuracy_lo,delta_accuracy_hi,n_common_answers,risk80_direct,risk80_method,delta_risk80,delta_risk80_lo,delta_risk80_hi,decision
q9b,high_acc,dola,sequence,600,5,31,0.9183333333333333,0.875,-0.043333333333333335,0.10204081632653061,0.056261343012704176,-0.075,-0.015,597,0.04811715481171548,0.1108786610878661,0.06276150627615062,0.03131360908141962,0.09853249475890985,higher_fixed_coverage_risk
q9b,high_acc,deco,sequence,600,2,3,0.9183333333333333,0.9166666666666666,-0.0016666666666666668,0.04081632653061224,0.0054446460980036296,-0.008333333333333333,0.005,597,0.04811715481171548,0.04602510460251046,-0.0020920502092050194,-0.008403361344537813,0.01252609603340292,no_confirmed_harm_at_primary_budget
q9b,low_acc,vcd,first,600,59,25,0.24666666666666667,0.30333333333333334,0.056666666666666664,0.13053097345132744,0.16891891891891891,0.009958333333333336,0.09833333333333333,590,0.7182203389830508,0.6864406779661016,-0.03177966101694918,-0.09033613445378152,0.016877637130801593,no_confirmed_harm_at_primary_budget
q9b,low_acc,m3id,first,600,21,21,0.24666666666666667,0.24666666666666667,0.0,0.046460176991150445,0.14189189189189189,-0.03166666666666667,0.03666666666666667,590,0.7182203389830508,0.7478813559322034,0.029661016949152574,-0.025682773109243714,0.07805907172995774,no_confirmed_harm_at_primary_budget
q9b,low_acc,dola,first,600,8,13,0.24666666666666667,0.23833333333333334,-0.008333333333333333,0.017699115044247787,0.08783783783783784,-0.025,0.01,590,0.7182203389830508,0.7521186440677966,0.03389830508474578,0.006252024364349576,0.0572064261038541,higher_fixed_coverage_risk
q9b,low_acc,deco,first,600,4,9,0.24666666666666667,0.23833333333333334,-0.008333333333333333,0.008849557522123894,0.060810810810810814,-0.02,0.0033333333333333335,590,0.7182203389830508,0.7309322033898306,0.012711864406779738,-0.002132196162046962,0.031712473572938715,no_confirmed_harm_at_primary_budget
q9b,high_acc,vcd,first,600,16,17,0.9183333333333333,0.9166666666666666,-0.0016666666666666668,0.32653061224489793,0.030852994555353903,-0.02,0.018333333333333333,597,0.0397489539748954,0.060669456066945605,0.02092050209205021,0.004192872117400416,0.043750000000000004,higher_fixed_coverage_risk
q9b,high_acc,m3id,first,600,5,6,0.9183333333333333,0.9166666666666666,-0.0016666666666666668,0.10204081632653061,0.010889292196007259,-0.013333333333333334,0.011666666666666667,597,0.0397489539748954,0.05230125523012552,0.012552301255230124,0.0,0.031446540880503145,no_confirmed_harm_at_primary_budget
q9b,high_acc,dola,first,600,5,31,0.9183333333333333,0.875,-0.043333333333333335,0.10204081632653061,0.056261343012704176,-0.075,-0.015,597,0.0397489539748954,0.10669456066945607,0.06694560669456068,0.03333333333333334,0.10901467505241089,higher_fixed_coverage_risk
q9b,high_acc,deco,first,600,2,3,0.9183333333333333,0.9166666666666666,-0.0016666666666666668,0.04081632653061224,0.0054446460980036296,-0.008333333333333333,0.005,597,0.0397489539748954,0.04184100418410042,0.0020920502092050194,-0.0041928721174004195,0.014645118988096801,no_confirmed_harm_at_primary_budget
