model,condition,file,category,n_paths,n_measured,n_unstable,any_default,any_up_to_two,n_validated
q9b,original,miso_soup_eval_033.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,miso_soup_eval_039.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,mussels_eval_028.jpg,at_least_one_name_reachable,2,2,1,True,True,1
q9b,original,mussels_eval_031.jpg,at_least_one_name_reachable,2,2,0,False,True,1
q9b,original,oysters_eval_026.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,oysters_eval_038.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,paella_eval_028.jpg,at_least_one_name_reachable,2,2,0,True,True,2
q9b,original,paella_eval_045.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,panna_cotta_eval_032.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,panna_cotta_eval_042.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,pho_eval_034.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,pho_eval_040.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,pizza_eval_040.jpg,at_least_one_name_reachable,2,2,0,True,True,2
q9b,original,pizza_eval_046.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,pork_chop_eval_034.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,pork_chop_eval_046.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,prime_rib_eval_029.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,prime_rib_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,sashimi_eval_025.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,sashimi_eval_032.jpg,remaining_score_constraints_incompatible,2,2,1,False,False,0
q9b,original,scallops_eval_031.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,scallops_eval_044.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,shrimp_and_grits_eval_027.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,shrimp_and_grits_eval_028.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,spaghetti_bolognese_eval_041.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,spaghetti_bolognese_eval_045.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,spaghetti_carbonara_eval_027.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,spaghetti_carbonara_eval_041.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,spring_rolls_eval_029.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,spring_rolls_eval_041.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,steak_eval_024.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,steak_eval_036.jpg,at_least_one_name_reachable,2,2,0,True,True,2
q9b,original,strawberry_shortcake_eval_041.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,strawberry_shortcake_eval_044.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,sushi_eval_039.jpg,at_least_one_name_reachable,2,2,0,True,True,1
q9b,original,sushi_eval_047.jpg,at_least_one_name_reachable,2,2,0,True,True,2
q9b,original,tacos_eval_037.jpg,at_least_one_name_reachable,2,2,0,False,True,1
q9b,original,tacos_eval_039.jpg,at_least_one_name_reachable,2,2,0,True,True,2
q9b,original,tuna_tartare_eval_032.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,tuna_tartare_eval_036.jpg,every_name_excluded_by_support,2,2,0,False,False,0
q9b,original,waffles_eval_027.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,original,waffles_eval_040.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
q9b,short32,beef_carpaccio_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
