model,condition,file,target_name,status,robust_stable,interval_empty,contains_default,empty_reason,witness_alpha,validation_passed,category
llava16,original,prime_rib_eval_038.jpg,Prime rib,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,ramen_eval_029.jpg,ramen,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,ramen_eval_029.jpg,Ramen,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,ramen_eval_046.jpg,ramen,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,ramen_eval_046.jpg,Ramen,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,red_velvet_cake_eval_038.jpg,red velvet cake,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,red_velvet_cake_eval_038.jpg,Red velvet cake,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,red_velvet_cake_eval_042.jpg,red velvet cake,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,red_velvet_cake_eval_042.jpg,Red velvet cake,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,risotto_eval_026.jpg,risotto,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,risotto_eval_026.jpg,Risotto,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,risotto_eval_034.jpg,risotto,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,risotto_eval_034.jpg,Risotto,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,sashimi_eval_025.jpg,sashimi,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,sashimi_eval_025.jpg,Sashimi,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,sashimi_eval_032.jpg,sashimi,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,sashimi_eval_032.jpg,Sashimi,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,spaghetti_bolognese_eval_041.jpg,spaghetti bolognese,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,spaghetti_bolognese_eval_041.jpg,Spaghetti bolognese,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,spaghetti_bolognese_eval_045.jpg,spaghetti bolognese,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,spaghetti_bolognese_eval_045.jpg,Spaghetti bolognese,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,spaghetti_carbonara_eval_027.jpg,spaghetti carbonara,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,spaghetti_carbonara_eval_027.jpg,Spaghetti carbonara,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,spaghetti_carbonara_eval_041.jpg,spaghetti carbonara,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,spaghetti_carbonara_eval_041.jpg,Spaghetti carbonara,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,steak_eval_024.jpg,steak,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,steak_eval_024.jpg,Steak,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,steak_eval_036.jpg,steak,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,steak_eval_036.jpg,Steak,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,sushi_eval_039.jpg,sushi,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,sushi_eval_039.jpg,Sushi,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,sushi_eval_047.jpg,sushi,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,sushi_eval_047.jpg,Sushi,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,takoyaki_eval_031.jpg,takoyaki,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,takoyaki_eval_031.jpg,Takoyaki,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,takoyaki_eval_040.jpg,takoyaki,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,takoyaki_eval_040.jpg,Takoyaki,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,tiramisu_eval_036.jpg,tiramisu,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,tiramisu_eval_036.jpg,Tiramisu,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,tiramisu_eval_044.jpg,tiramisu,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,tiramisu_eval_044.jpg,Tiramisu,ok,True,True,False,target_never_overtakes_competitor,,,empty_constraints_incompatible
llava16,original,waffles_eval_027.jpg,waffles,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,waffles_eval_027.jpg,Waffles,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,waffles_eval_040.jpg,waffles,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,waffles_eval_040.jpg,Waffles,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,short32,apple_pie_eval_027.jpg,apple pie,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,apple_pie_eval_027.jpg,Apple pie,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,apple_pie_eval_034.jpg,apple pie,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,apple_pie_eval_034.jpg,Apple pie,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,beignets_eval_025.jpg,beignets,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,beignets_eval_025.jpg,Beignets,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,beignets_eval_038.jpg,beignets,ok,True,True,False,target_outside_support,,,empty_target_outside_support
