class,closed_full_acc,closed_near10_acc,n,open_acc,pair,stratum
brittany_spaniel,0.1667,1.0,24,0.0,q9b@dogs,deficient
bull_mastiff,0.75,1.0,24,0.0,q9b@dogs,deficient
cairn,0.625,1.0,24,0.0,q9b@dogs,deficient
chesapeake_bay_retriever,0.0417,0.9167,24,0.0,q9b@dogs,deficient
clumber,0.0417,0.8333,24,0.0,q9b@dogs,deficient
cocker_spaniel,0.9167,0.9583,24,0.0,q9b@dogs,deficient
collie,0.5833,1.0,24,0.0,q9b@dogs,deficient
curly,0.0,0.9167,24,0.0,q9b@dogs,deficient
dandie_dinmont,0.0,0.2083,24,0.0,q9b@dogs,deficient
english_foxhound,0.125,0.8333,24,0.0,q9b@dogs,deficient
english_setter,0.25,0.4167,24,0.0,q9b@dogs,deficient
english_springer,0.3333,0.5,24,0.0,q9b@dogs,deficient
entlebucher,0.1667,0.0417,24,0.0,q9b@dogs,deficient
afghan_hound,0.9583,1.0,24,0.9583,q9b@dogs,known
african_hunting_dog,1.0,1.0,24,1.0,q9b@dogs,known
basenji,0.625,1.0,24,1.0,q9b@dogs,known
bedlington_terrier,0.7917,1.0,24,0.0,q9b@dogs,known
bernese_mountain_dog,0.9167,0.7917,24,0.7083,q9b@dogs,known
boxer,0.9583,1.0,24,0.0,q9b@dogs,known
brabancon_griffon,0.2083,0.875,24,0.7917,q9b@dogs,known
cardigan,0.0417,0.9583,24,0.0417,q9b@dogs,known
chihuahua,1.0,1.0,24,0.0,q9b@dogs,known
chow,0.875,0.9583,24,0.0,q9b@dogs,known
dhole,0.3333,0.7083,24,0.6667,q9b@dogs,known
dingo,0.8333,0.8333,24,0.0,q9b@dogs,known
doberman,0.9167,1.0,24,0.125,q9b@dogs,known
eskimo_dog,0.0,1.0,24,0.9167,q9b@dogs,known
greater_swiss_mountain_dog,0.5417,0.4167,24,0.8333,q9b@dogs,known
ibizan_hound,0.6667,0.9167,24,0.9583,q9b@dogs,known
kerry_blue_terrier,0.4583,0.9583,24,0.0,q9b@dogs,known
leonberg,0.3333,0.625,24,0.9167,q9b@dogs,known
maltese_dog,0.7917,1.0,24,0.9583,q9b@dogs,known
miniature_poodle,0.375,0.4167,24,0.8333,q9b@dogs,known
newfoundland,0.625,0.875,24,0.625,q9b@dogs,known
pembroke,1.0,1.0,24,0.0417,q9b@dogs,known
pomeranian,0.9167,0.9583,24,0.0,q9b@dogs,known
pug,0.9583,1.0,24,1.0,q9b@dogs,known
siberian_husky,1.0,0.9583,24,0.0,q9b@dogs,known
standard_poodle,0.625,1.0,24,1.0,q9b@dogs,known
toy_poodle,0.5,0.5,24,0.8333,q9b@dogs,known
toy_terrier,0.0833,0.8333,24,0.9583,q9b@dogs,known
walker_hound,0.0,1.0,24,0.9583,q9b@dogs,known
yorkshire_terrier,1.0,1.0,24,0.0,q9b@dogs,known
(overall),0.6444,0.8861,720,0.5375,q9b@dogs,known
(overall),0.45,0.7875,720,0.0014,q9b@dogs,deficient
