population,model,domain,group,method,n,acc_direct,gap_direct,ece_direct,ece_method,d_ece
class,q4b,food101,lasagna,mib,24,0.5417,-0.1377,0.2128,0.2134,0.0007
class,q4b,food101,lobster_bisque,mib,24,0.9583,-0.2222,0.2537,0.3248,0.0711
class,q4b,food101,lobster_roll_sandwich,mib,24,0.7917,-0.3225,0.4352,0.1591,-0.276
class,q4b,food101,macaroni_and_cheese,mib,24,0.875,-0.2309,0.2457,0.1887,-0.0571
class,q4b,food101,macarons,mib,24,0.5,0.121,0.2923,0.3585,0.0661
class,q4b,food101,miso_soup,mib,24,0.875,-0.2772,0.3152,0.327,0.0118
class,q4b,food101,mussels,mib,24,0.8333,-0.4316,0.4316,0.2898,-0.1417
class,q4b,food101,nachos,mib,24,0.9583,-0.2113,0.2279,0.1788,-0.0492
class,q4b,food101,omelette,mib,24,0.4583,0.0494,0.2365,0.2748,0.0382
class,q4b,food101,onion_rings,mib,24,1.0,-0.3243,0.3243,0.3154,-0.0089
class,q4b,food101,oysters,mib,24,0.9167,-0.2281,0.2818,0.1663,-0.1155
class,q4b,food101,pad_thai,mib,24,0.2083,0.1104,0.2209,0.1809,-0.04
class,q4b,food101,paella,mib,24,0.625,-0.1066,0.1681,0.1592,-0.0089
class,q4b,food101,pancakes,mib,24,0.875,-0.3489,0.3681,0.2791,-0.089
class,q4b,food101,panna_cotta,mib,24,0.0,0.4376,0.4376,0.4989,0.0613
class,q4b,food101,peking_duck,mib,24,0.4167,-0.1253,0.1302,0.291,0.1608
class,q4b,food101,pho,mib,24,0.0417,0.5958,0.6228,0.2236,-0.3992
class,q4b,food101,pizza,mib,24,0.9583,-0.3482,0.3482,0.3565,0.0083
class,q4b,food101,pork_chop,mib,24,0.2083,0.1948,0.4165,0.195,-0.2215
class,q4b,food101,poutine,mib,24,0.6667,-0.1948,0.2209,0.1819,-0.039
class,q4b,food101,prime_rib,mib,24,0.0,0.4201,0.4201,0.3851,-0.035
class,q4b,food101,pulled_pork_sandwich,mib,24,0.8333,-0.3263,0.3326,0.2782,-0.0544
class,q4b,food101,ramen,mib,24,0.6667,-0.1951,0.2405,0.3055,0.065
class,q4b,food101,ravioli,mib,24,0.5417,-0.1427,0.1427,0.1719,0.0292
class,q4b,food101,red_velvet_cake,mib,24,0.75,-0.2278,0.2994,0.2773,-0.0221
class,q4b,food101,risotto,mib,24,0.3333,0.1062,0.2125,0.148,-0.0645
class,q4b,food101,samosa,mib,24,0.8333,-0.1138,0.1584,0.163,0.0045
class,q4b,food101,sashimi,mib,24,0.75,-0.3601,0.3601,0.2311,-0.129
class,q4b,food101,scallops,mib,24,0.25,0.2663,0.2663,0.2417,-0.0246
class,q4b,food101,seaweed_salad,mib,24,0.875,-0.4894,0.5357,0.2244,-0.3113
class,q4b,food101,shrimp_and_grits,mib,24,0.375,0.0314,0.2638,0.1911,-0.0727
class,q4b,food101,spaghetti_bolognese,mib,24,0.9167,-0.3222,0.3576,0.3889,0.0313
class,q4b,food101,spaghetti_carbonara,mib,24,1.0,-0.3101,0.3101,0.3874,0.0772
class,q4b,food101,spring_rolls,mib,24,0.875,-0.3801,0.3801,0.3086,-0.0715
class,q4b,food101,steak,mib,24,0.5,-0.0324,0.193,0.2176,0.0247
class,q4b,food101,strawberry_shortcake,mib,24,0.0,0.458,0.458,0.4657,0.0077
class,q4b,food101,sushi,mib,24,0.9167,-0.0823,0.1533,0.1378,-0.0156
class,q4b,food101,tacos,mib,24,0.875,-0.3615,0.3615,0.2739,-0.0876
class,q4b,food101,takoyaki,mib,24,0.5417,-0.1345,0.2503,0.2154,-0.0349
class,q4b,food101,tiramisu,mib,24,0.9583,-0.5372,0.5372,0.2675,-0.2697
class,q4b,food101,tuna_tartare,mib,24,0.1667,0.193,0.2211,0.3331,0.112
class,q4b,food101,waffles,mib,24,0.8333,-0.27,0.3372,0.2224,-0.1148
class,q4b,food101,apple_pie,lcd,24,0.5,-0.1189,0.3253,0.3904,0.0651
class,q4b,food101,baby_back_ribs,lcd,24,0.4167,-0.0475,0.3493,0.2773,-0.0721
class,q4b,food101,baklava,lcd,24,0.8333,-0.1699,0.2131,0.3507,0.1376
class,q4b,food101,beef_carpaccio,lcd,24,0.1667,0.1407,0.2579,0.4417,0.1838
class,q4b,food101,beef_tartare,lcd,24,0.0833,0.2829,0.3275,0.4409,0.1134
class,q4b,food101,beet_salad,lcd,24,0.6667,-0.0741,0.2368,0.3206,0.0839
class,q4b,food101,beignets,lcd,24,0.5417,-0.1991,0.2785,0.2835,0.005
class,q4b,food101,bibimbap,lcd,24,0.2083,0.1635,0.2073,0.2825,0.0753
class,q4b,food101,bread_pudding,lcd,24,0.7917,-0.3882,0.3882,0.2417,-0.1465
class,q4b,food101,breakfast_burrito,lcd,24,0.7083,-0.0987,0.2109,0.1813,-0.0296
class,q4b,food101,bruschetta,lcd,24,0.4167,-0.1321,0.276,0.4646,0.1886
class,q4b,food101,caesar_salad,lcd,24,0.9167,-0.3747,0.3747,0.2781,-0.0966
class,q4b,food101,cannoli,lcd,24,0.7083,-0.0471,0.1701,0.2052,0.0351
class,q4b,food101,caprese_salad,lcd,24,0.5417,-0.1692,0.23,0.2626,0.0326
class,q4b,food101,carrot_cake,lcd,24,0.8333,-0.4637,0.4744,0.3072,-0.1672
class,q4b,food101,ceviche,lcd,24,0.3333,0.1089,0.2853,0.406,0.1206
class,q4b,food101,cheese_plate,lcd,24,0.5,-0.1263,0.2416,0.1844,-0.0572
class,q4b,food101,cheesecake,lcd,24,0.5417,-0.1586,0.2222,0.245,0.0229
class,q4b,food101,chicken_curry,lcd,24,0.5,-0.1191,0.2312,0.3329,0.1017
class,q4b,food101,chicken_quesadilla,lcd,24,0.9583,-0.1507,0.1507,0.0836,-0.0671
class,q4b,food101,chicken_wings,lcd,24,0.7917,-0.1849,0.1849,0.3591,0.1742
class,q4b,food101,chocolate_cake,lcd,24,0.7083,-0.2578,0.3171,0.2363,-0.0808
class,q4b,food101,chocolate_mousse,lcd,24,0.8333,-0.4177,0.4177,0.1756,-0.2421
class,q4b,food101,churros,lcd,24,0.5417,0.0687,0.13,0.3246,0.1945
class,q4b,food101,clam_chowder,lcd,24,0.9583,-0.2393,0.2393,0.4587,0.2194
class,q4b,food101,club_sandwich,lcd,24,0.75,-0.2311,0.3639,0.3019,-0.062
class,q4b,food101,crab_cakes,lcd,24,0.1667,0.1937,0.3614,0.2424,-0.119
class,q4b,food101,creme_brulee,lcd,24,0.2083,0.1264,0.2553,0.3811,0.1257
class,q4b,food101,croque_madame,lcd,24,0.0,0.3251,0.3251,0.5366,0.2116
class,q4b,food101,cup_cakes,lcd,24,0.0,0.5011,0.5011,0.7126,0.2115
