abstain_direct,abstain_method,acc_direct,acc_method,break_rate,conf_direct,conf_method,dconf_all,dconf_un_hi,dconf_un_lo,dconf_unchanged,dece,dece_hi,dece_lo,ece_direct,ece_method,method,model,n,n_unchanged,n_with_conf,rescue_rate,stratum
0.02666666666666667,0.0,0.8216666666666667,0.7633333333333333,0.11156186612576065,0.5481287514170011,0.7747535439829032,0.22662479256590207,0.2329307882659203,0.20411721981847578,0.2186087765195201,-0.18632574215531345,-0.1399582611831526,-0.21862680772940318,0.27353791524966553,0.08721217309435209,vcd,llava16,600,452,600,0.18691588785046728,high_acc
0.02666666666666667,0.0,0.8216666666666667,0.815,0.030425963488843813,0.5481287514170011,0.611169508372744,0.06304075695574284,0.028670819219661456,0.010717616008652947,0.019324471498282137,-0.017098291640480323,0.005802003075679203,-0.03961469126741092,0.27353791524966553,0.2564396236091852,m3id,llava16,600,543,600,0.102803738317757,high_acc
0.02666666666666667,0.02666666666666667,0.8216666666666667,0.8166666666666667,0.006085192697768763,0.5481287514170011,0.6865886222819487,0.13845987086494763,0.14494418480217156,0.133670819867465,0.139269346841658,-0.1258557485044002,-0.10708474715302387,-0.14327081231772898,0.27353791524966553,0.14768216674526533,dola,llava16,600,594,600,0.0,high_acc
0.02666666666666667,0.035,0.8216666666666667,0.8133333333333334,0.014198782961460446,0.5481287514170011,0.6040483287721873,0.05591957735518614,0.059510632378811185,0.053564191486347806,0.05664476754990491,-0.0587798382093509,-0.04729127100544677,-0.06858813452348109,0.27353791524966553,0.21475807704031463,deco,llava16,600,550,600,0.018691588785046728,high_acc
0.0,0.0,0.025,0.035,0.4,0.3708144494642814,0.6123365664730469,0.24152211700876555,0.2595150733612166,0.22038384447131798,0.23903252694671945,0.23152211700876546,0.2524541304490218,0.2109320166790858,0.3458144494642815,0.577336566473047,vcd,internvl4b,600,311,600,0.020512820512820513,low_acc
0.0,0.0,0.025,0.025,0.2,0.3708144494642814,0.5340123350173235,0.1631978855530421,0.08448249642082518,0.04972235929211694,0.0658563233838223,0.16319788555304193,0.18425023970225202,0.14116250516722592,0.3458144494642815,0.5090123350173235,m3id,internvl4b,600,404,600,0.005128205128205128,low_acc
0.0,0.0,0.025,0.03666666666666667,0.6666666666666666,0.3708144494642814,0.8951444151997566,0.5243299657354752,0.4113380935399773,0.33165787662121843,0.37152075830926284,0.5126632990688085,0.5343764624058578,0.49014829802606263,0.3458144494642815,0.85847774853309,dola,internvl4b,600,94,600,0.02905982905982906,low_acc
0.0,0.005,0.025,0.025,0.0,0.3708144494642814,0.4372297272582849,0.06641527779400348,0.06639510980270405,0.059811960535662505,0.06293420534766181,0.06641527779400336,0.07095644073033083,0.06226475380392124,0.3458144494642815,0.4122297272582849,deco,internvl4b,600,543,600,0.0,low_acc
0.0,0.0,0.8516666666666667,0.8383333333333334,0.050880626223091974,0.6243443411340316,0.775750088195006,0.15140574706097443,0.16270974153238865,0.13600767640412872,0.14936478606337666,-0.14723339522878331,-0.11492776027663303,-0.1688599094248687,0.2275949929654598,0.08036159773667649,vcd,internvl4b,600,468,600,0.20224719101123595,high_acc
0.0,0.0,0.8516666666666667,0.86,0.009784735812133072,0.6243443411340316,0.6689321176707744,0.04458777653674285,0.015285100219532465,0.0038888953264543426,0.008739399085769723,-0.032395844459533696,-0.016932957352139087,-0.04918340582555785,0.2275949929654598,0.1951991485059261,m3id,internvl4b,600,546,600,0.11235955056179775,high_acc
